,hobby,wiki_title,wiki_url,wiki_summary,wiki_categories,hobby_en,hobby_ru,hobby_vector,image_url
25,slingshots,Slingshot,https://en.wikipedia.org/wiki/Slingshot,"A slingshot is a small hand-powered projectile weapon. The classic form consists of a Y-shaped frame held in the non-dominant hand, with two natural-rubber strips or tubes attached to the upper two ends. The other ends of the strips lead back to a pocket that holds the projectile. The dominant hand grasps the pocket and draws it back to the desired extent to provide power for the projectile—up to a full span of the arm with sufficiently long bands.
Other names include catapult (United Kingdom), gulel (India), getis / gulel (Nepal), kettie (South Africa), or ging, shanghai, pachoonga (Australia and New Zealand).","All articles with unsourced statements,Articles with short description,Articles with unsourced statements from February 2021,Commons category link is on Wikidata,Personal weapons,Primitive weapons,Recreational weapons,Short description is different from Wikidata",Slingshots,Стрельба из рогатки,"0.0266,0.0323,0.0539,0.0289,0.0368,0.0312,0.1763,0.0323,0.0312,0.0822,0.0278,0.0709,0.0448,0.0482,0.0505,0.0255,0.0255,0.0505,0.0663,0.0584",https://images.pexels.com/photos/7248328/pexels-photo-7248328.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
26,shooting,Shooting,https://en.wikipedia.org/wiki/Shooting,"Shooting is the act or process of discharging a projectile from a ranged weapon (such as a gun, bow, crossbow, slingshot, or blowpipe). Even the acts of launching flame, artillery, darts, harpoons, grenades, rockets, and guided missiles can be considered acts of shooting.  When using a firearm, the act of shooting is often called firing as it involves initiating a combustion (deflagration) of chemical propellants.
Shooting can take place in a shooting range or in the field, in shooting sports, hunting or in combat.  The person involved in the shooting activity is called a shooter.  A skilled, accurate shooter is a marksman or sharpshooter, and a person's level of shooting proficiency is referred to as their marksmanship.","All articles needing additional references,Articles needing additional references from May 2021,Articles with short description,Combat,Commons category link from Wikidata,Commons category link is locally defined,Hunting methods,Marksmanship,Projectile weapons,Short description matches Wikidata,Warfare of the Middle Ages,Wikipedia articles with BNF identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NARA identifiers",Shooting,Стрельба,"0.0347,0.0325,0.0556,0.0369,0.0303,0.0248,0.3218,0.0248,0.0292,0.0457,0.0545,0.0435,0.0413,0.0292,0.027,0.0303,0.0248,0.038,0.0501,0.0259",https://images.pexels.com/photos/4270223/pexels-photo-4270223.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
27,snorkeling,Snorkeling,https://en.wikipedia.org/wiki/Snorkeling,"Snorkeling (British and Commonwealth English spelling: snorkelling) is the practice of swimming on or through a body of water while equipped with a diving mask, a shaped breathing tube called a snorkel, and usually swimfins. In cooler waters, a wetsuit may also be worn. Use of this equipment allows the snorkeler to observe underwater attractions for extended periods with relatively little effort and to breathe while face-down at the surface.
Snorkeling is a popular recreational activity, particularly at tropical resort locations. It provides the opportunity to observe underwater life in a natural setting without the complicated equipment and training required for scuba diving. It appeals to all ages because of how little effort is involved and is the basis of the two surface disciplines of the underwater sport of finswimming.Snorkeling is also used by scuba divers when on the surface, in underwater sports such as underwater hockey and underwater rugby, and as part of water-based searches conducted by search and rescue teams.","All Wikipedia articles written in American English,All articles with unsourced statements,Articles with short description,Articles with unsourced statements from September 2016,CS1 French-language sources (fr),CS1 maint: numeric names: authors list,Commons category link from Wikidata,Freediving,Individual sports,Recreational diving,Short description matches Wikidata,Swimming,Use American English from March 2021,Webarchive template wayback links,Wikipedia articles needing clarification from February 2019,Wikipedia articles needing clarification from September 2019,Wikipedia articles with MA identifiers",Snorkeling,Сноркелинг,"0.0232,0.0241,0.0314,0.0733,0.0278,0.025,0.0433,0.0232,0.026,0.2609,0.0815,0.0214,0.036,0.0296,0.0241,0.0542,0.0751,0.0496,0.0496,0.0205",https://images.pexels.com/photos/2404365/pexels-photo-2404365.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
28,cooking,Cooking,https://en.wikipedia.org/wiki/Cooking,"Cooking, cookery, or culinary arts is the art, science, and craft of using heat to prepare food for consumption. Cooking techniques and ingredients vary widely, from grilling food over an open fire to using electric stoves, to baking in various types of ovens, reflecting local conditions.
Types of cooking also depend on the skill levels and training of the cooks. Cooking is done both by people in their own dwellings and by professional cooks and chefs in restaurants and other food establishments.
Preparing food with heat or fire is an activity unique to humans. It may have started around 2 million years ago, though archaeological evidence for it reaches no more than 1 million years ago.The expansion of agriculture, commerce, trade, and transportation between civilizations in different regions offered cooks many new ingredients. New inventions and technologies, such as the invention of pottery for holding and boiling water, expanded cooking techniques. Some modern cooks apply advanced scientific techniques to food preparation to further enhance the flavor of the dish served.","All articles needing additional references,All articles with failed verification,Articles containing video clips,Articles needing additional references from March 2017,Articles with failed verification from February 2013,Articles with short description,CS1 maint: archived copy as title,Cooking,Home economics,Short description is different from Wikidata,Survival skills,Use dmy dates from May 2021,Webarchive template wayback links,Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NARA identifiers,Wikipedia articles with NDL identifiers",Cooking,Готовка,"0.0203,0.0328,0.0361,0.0435,0.0593,0.0361,0.0692,0.0468,0.0245,0.0311,0.0228,0.0261,0.2691,0.0195,0.0369,0.0742,0.0709,0.0195,0.0402,0.0211",https://images.pexels.com/photos/1435895/pexels-photo-1435895.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
29,skiing,Skiing,https://en.wikipedia.org/wiki/Skying,"Skying is the third studio album by British band The Horrors. The album was released on 11 July 2011 in the UK and on 9 August 2011 in the USA on XL Recordings.

","2011 albums,Album articles lacking alt text for covers,All articles with unsourced statements,Articles with hAudio microformats,Articles with short description,Articles with unsourced statements from May 2016,CS1 maint: archived copy as title,CS1 maint: bot: original URL status unknown,Short description is different from Wikidata,The Horrors albums,Use British English from July 2011,Use dmy dates from July 2020,Wikipedia articles with MusicBrainz release group identifiers,XL Recordings albums",Skiing,Горнолыжный спорт,"0.0455,0.0455,0.0475,0.0697,0.0455,0.0737,0.0455,0.0455,0.0455,0.0455,0.0616,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455,0.0475,0.0636",https://images.pexels.com/photos/877864/pexels-photo-877864.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
30,hairstyle,Hairstyle,https://en.wikipedia.org/wiki/Hairstyle,"A hairstyle, hairdo, or haircut refers to the styling of hair, usually on the human scalp. Sometimes, this could also mean an editing of facial or body hair. The fashioning of hair can be considered an aspect of personal grooming, fashion, and cosmetics, although practical, cultural, and popular considerations also influence some hairstyles.The oldest known depiction of hair styling is hair braiding which dates back about 30,000 years. In history, women's hair was often elaborately and carefully dressed in special ways, though it was also often kept covered outside the home, especially for married women. From the time of the Roman Empire until the Middle Ages, most women grew their hair as long as it would naturally grow. Between the late 15th century and the 16th century, a very high hairline on the forehead was considered attractive. Around the same time period, European men often wore their hair cropped no longer than shoulder-length. In the early 17th century, male hairstyles grew longer, with waves or curls being considered desirable.
The male wig was pioneered by King Louis XIII of France (1601–1643) in 1624. Mullets or periwigs for men were introduced into the English-speaking world with other French styles in 1660. Late 17th century wigs were very long and wavy, but became shorter in the mid-18th century, by which time they were normally white. Short hair for fashionable men was a product of the Neoclassical movement. In the early 19th century the male beard, and also moustaches and sideburns, made a strong reappearance. From the 16th to the 19th century, European women's hair became more visible while their hair coverings grew smaller. In the middle of the 18th century the pouf style developed. During the First World War, women around the world started to shift to shorter hairstyles that were easier to manage. In the early 1950s women's hair was generally curled and worn in a variety of styles and lengths. In the 1960s, many women began to wear their hair in short modern cuts such as the pixie cut, while in the 1970s, hair tended to be longer and looser. In both the 1960s and 1970s many men and women wore their hair very long and straight. In the 1980s, women pulled back their hair with scrunchies. During the 1980s, punk hairstyles were adopted by many people.","All articles needing additional references,All articles needing rewrite,All articles with unsourced statements,Articles needing additional references from December 2020,Articles using small message boxes,Articles with short description,Articles with unsourced statements from December 2014,Commons category link is on Wikidata,Duplicate articles,Hairdressing,Hairstyles,Short description matches Wikidata,Use dmy dates from June 2015,Wikipedia articles needing rewrite from December 2020,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NDL identifiers",Hairstyle,Парикмахерское искусство,"0.0142,0.0395,0.0212,0.0132,0.2166,0.1232,0.0153,0.0539,0.0486,0.0448,0.0421,0.0185,0.0894,0.0464,0.0346,0.0255,0.0148,0.0996,0.0185,0.0201",https://images.pexels.com/photos/3993465/pexels-photo-3993465.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
31,fossil hunting,Fossil collecting,https://en.wikipedia.org/wiki/Fossil_collecting,"Fossil collecting (sometimes, in a non-scientific sense, fossil hunting) is the collection of fossils for scientific study, hobby, or profit. Fossil collecting, as practiced by amateurs, is the predecessor of modern paleontology and many still collect fossils and study fossils as amateurs. Professionals and amateurs alike collect fossils for their scientific value. A commercial trade in fossils has also long existed, with some of this being practised illegally.","All articles needing additional references,All articles with unsourced statements,Articles needing additional references from September 2010,Articles with short description,Articles with unsourced statements from October 2020,Collecting,Fossils,Short description is different from Wikidata,Wikipedia articles with FAST identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers",Fossil hunting,Сбор ископаемых,"0.0351,0.0479,0.0287,0.1462,0.053,0.03,0.0351,0.1335,0.0287,0.0441,0.0287,0.0287,0.0287,0.0607,0.0287,0.1092,0.0287,0.0287,0.0364,0.039",https://images.pexels.com/photos/7169549/pexels-photo-7169549.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
32,tai chi,Tai chi,https://en.wikipedia.org/wiki/Tai_chi,"Tai chi (simplified Chinese: 太极; traditional Chinese: 太極; pinyin: Tàijí), short for T'ai chi ch'üan or Tàijí quán (太極拳), sometimes colloquially known as ""Shadowboxing,"" is an internal Chinese martial art practiced for defense training, health benefits, and meditation.
Developed as a martial art, it is practiced for reasons including competitive wrestling, competitive demonstrations, and health/longevity. Tai chi has practitioners worldwide.
Yang Shaohou, Yang Chengfu, Wu Chien-ch‘üan and Sun Lutang promoted the art for its health benefits beginning in the early 20th century. Its global following often for its benefit to personal health. Medical studies of t‘ai-chi support its effectiveness as an alternative exercise and a form of martial arts therapy.
Many forms are practiced, both traditional and modern. Most modern styles trace their development to the five traditional schools: Chen, Yang, Wu (Hao), Wu, and Sun. All trace their historical origins to Chen Village.","All Wikipedia articles needing context,All articles needing additional references,All articles that may contain original research,All articles with unsourced statements,All pages needing cleanup,Articles containing Chinese-language text,Articles containing simplified Chinese-language text,Articles containing traditional Chinese-language text,Articles needing additional references from April 2021,Articles needing additional references from May 2021,Articles needing additional references from September 2019,Articles that may contain original research from June 2020,Articles with multiple maintenance issues,Articles with short description,Articles with unsourced statements from August 2014,Articles with unsourced statements from July 2017,CS1 maint: ref duplicates default,Chinese martial arts,Chinese swordsmanship,Meditation,Neijia,Pages with missing ISBNs,Qigong,Short description is different from Wikidata,Tai chi,Wikipedia articles needing clarification from July 2017,Wikipedia articles needing context from April 2021,Wikipedia articles needing page number citations from May 2013,Wikipedia articles needing page number citations from November 2020,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with NKC identifiers,Wikipedia introduction cleanup from April 2021",Tai Chi,Тай Чи.,"0.0441,0.0583,0.0267,0.067,0.1324,0.0485,0.0463,0.0975,0.0354,0.03,0.0605,0.0278,0.0659,0.0398,0.031,0.0256,0.0245,0.0496,0.0463,0.043",https://images.pexels.com/photos/771328/pexels-photo-771328.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
33,beatboxing,Beatboxing,https://en.wikipedia.org/wiki/Beatboxing,"Beatboxing (also beat boxing or boxing) is a form of vocal percussion primarily involving the art of mimicking drum machines (typically a TR-808), using one's mouth, lips, tongue, and voice. It may also involve vocal imitation of turntablism, and other musical instruments. Beatboxing today is connected with hip-hop culture, often referred to as ""the fifth element"" of hip-hop, although it is not limited to hip-hop music. The term ""beatboxing"" is sometimes used to refer to vocal percussion in general.

","All Wikipedia articles written in American English,All accuracy disputes,All articles with unsourced statements,Articles with disputed statements from June 2021,Articles with short description,Articles with unsourced statements from November 2010,Articles with unsourced statements from October 2020,Beatboxing,Short description is different from Wikidata,Use American English from July 2020,Vocal percussion,Vocal skills,Webarchive template wayback links,Wikipedia articles with LCCN identifiers",Beatboxing,Битбоксинг,"0.0412,0.0425,0.0359,0.0359,0.0464,0.0451,0.0765,0.0307,0.1614,0.0359,0.0386,0.0346,0.0477,0.0425,0.0307,0.0595,0.0359,0.032,0.0739,0.0529",https://images.pexels.com/photos/7717510/pexels-photo-7717510.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
34,hairdresser,Hairdresser,https://en.wikipedia.org/wiki/Hairdresser,"A hairdresser is a person whose occupation is to cut or style hair in order to change or maintain a person's image. This is achieved using a combination of hair coloring, haircutting, and hair texturing techniques. Examples of professional titles in Canada include 'barber,' 'hairstylist,' 'hair colour technician,' 'hairdresser, and 'wig stylist.' Each professional title also has an 'apprentice' version. Canada also provides Red Seal endorsements dependent on local qualification.

","All articles needing additional references,Articles containing video clips,Articles needing additional references from November 2013,Articles with limited geographic scope from November 2013,Articles with short description,Commons category link from Wikidata,Fashion occupations,Hairdressing,Personal care and service occupations,Short description matches Wikidata,Wikipedia articles with GND identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with multiple identifiers,Wikipedia pending changes protected pages",Hairdresser,Парикмахер,"0.035,0.0391,0.0514,0.0391,0.0912,0.0501,0.0665,0.0665,0.0556,0.0542,0.0652,0.0336,0.0432,0.0432,0.0652,0.0652,0.0377,0.0336,0.0336,0.0309",https://images.pexels.com/photos/3065209/pexels-photo-3065209.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
35,genealogy,Genealogy,https://en.wikipedia.org/wiki/Genealogy,"Genealogy (from Greek: γενεαλογία genealogia ""study of family trees"") is the study of families, family history, and the tracing of their lineages. Genealogists use oral interviews, historical records, genetic analysis, and other records to obtain information about a family and to demonstrate kinship and pedigrees of its members. The results are often displayed in charts or written as narratives. The field of family history is broader than genealogy, and covers not just lineage but also family and community history and biography.The record of genealogical work may be presented as a ""genealogy,"" a ""family history,"" or a ""family tree."" In the narrow sense, a ""genealogy"" or a ""family tree"" traces the descendants of one person, whereas a ""family history"" traces the ancestors of one person, but the terms are often used interchangeably. A family history may include additional biographical information, family traditions, and the like.The pursuit of family history and origins tends to be shaped by several motives, including the desire to carve out a place for one's family in the larger historical picture, a sense of responsibility to preserve the past for future generations, and self-satisfaction in accurate storytelling. Genealogy research is also performed for scholarly or forensic purposes.","All articles needing additional references,All articles with unsourced statements,Articles containing Greek-language text,Articles needing additional references from April 2015,Articles prone to spam from July 2015,Articles with Curlie links,Articles with short description,Articles with unsourced statements from February 2010,CS1 Icelandic-language sources (is),CS1 Norwegian-language sources (no),CS1 maint: archived copy as title,Genealogy,Kinship and descent,Pages using Sister project links with default search,Pages using Sister project links with hidden wikidata,Short description is different from Wikidata,Webarchive template wayback links,Wikipedia articles with BNE identifiers,Wikipedia articles with BNF identifiers,Wikipedia articles with FAST identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with HDS identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NARA identifiers,Wikipedia articles with NKC identifiers",Genealogy,Генеалогия,"0.0705,0.0205,0.0197,0.0672,0.0632,0.0994,0.027,0.0254,0.039,0.0382,0.0213,0.0342,0.039,0.2403,0.0286,0.0294,0.0374,0.0221,0.0382,0.039",https://unsplash.com/photos/0ragDalrPpk/download
36,sculpture,Sculpture,https://en.wikipedia.org/wiki/Sculpture,"Sculpture is the branch of the visual arts that operates in three dimensions. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials but, since Modernism, there has been an almost complete freedom of materials and process. A wide variety of materials may be worked by removal such as carving, assembled by welding or modelling, or moulded or cast.
Sculpture in stone survives far better than works of art in perishable materials, and often represents the majority of the surviving works (other than pottery) from ancient cultures, though conversely traditions of sculpture in wood may have vanished almost entirely. However, most ancient sculpture was brightly painted, and this has been lost.Sculpture has been central in religious devotion in many cultures, and until recent centuries large sculptures, too expensive for private individuals to create, were usually an expression of religion or politics. Those cultures whose sculptures have survived in quantities include the cultures of the ancient Mediterranean, India and China, as well as many in Central and South America and Africa.
The Western tradition of sculpture began in ancient Greece, and Greece is widely seen as producing great masterpieces in the classical period. During the Middle Ages, Gothic sculpture represented the agonies and passions of the Christian faith. The revival of classical models in the Renaissance produced famous sculptures such as Michelangelo's statue of David. Modernist sculpture moved away from traditional processes and the emphasis on the depiction of the human body, with the making of constructed sculpture, and the presentation of found objects as finished art works.","All articles with dead external links,Articles containing Japanese-language text,Articles with dead external links from May 2018,Articles with permanently dead external links,Articles with short description,CS1 errors: missing periodical,Commons link is on Wikidata,Sculpture,Sculpture techniques,Sculptures,Short description is different from Wikidata,Visual arts terminology,Webarchive template wayback links,Wikipedia articles with BNE identifiers,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with HDS identifiers,Wikipedia articles with IEU identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NARA identifiers,Wikipedia articles with NDL identifiers",Sculpture,Скульптура,"0.0203,0.0242,0.0255,0.0352,0.4002,0.03,0.0242,0.021,0.0359,0.0262,0.0229,0.0462,0.125,0.0378,0.0197,0.0262,0.0197,0.0152,0.0158,0.0287",https://images.pexels.com/photos/7245252/pexels-photo-7245252.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
37,vehicle restoration,Conservation and restoration of vehicles,https://en.wikipedia.org/wiki/Conservation_and_restoration_of_vehicles,"Vehicle restoration is the process of restoring a vehicle back to its original working condition, whether the car is partially scrapped or completely totaled.
Automotive restoration can be applied to many different eras of the automobile. Heritage railways and railway museums aim to restore and operate restored trains. Bus preservation groups aim to purchase buses of various eras to restore them to their original operating condition. Trains and buses are often restored to the original authentic livery of their original owner.",Conservation and restoration of vehicles,Vehicle restoration,Реставрация автомобиля,"0.052,0.0376,0.0341,0.0293,0.0556,0.0484,0.0962,0.0376,0.0329,0.0293,0.0317,0.1093,0.0293,0.0281,0.0281,0.2061,0.0269,0.0269,0.0341,0.0269",https://images.pexels.com/photos/4489721/pexels-photo-4489721.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
38,safari,Safari (software),https://en.wikipedia.org/wiki/Safari_(software),"Safari is a graphical web browser developed by Apple, mostly based on open-source software such as WebKit. It first appeared as part of Mac OS X Panther on the Mac in 2003; later, a mobile version was introduced as part of iPhone OS 1 on the iPhone and iPod touch in 2007. It is currently supported on macOS, iOS, and iPadOS. A Windows version was available from 2007 to 2012.It was among many graphical browsers running Google's Safe Browsing. A pop-up blocker is enabled with Safari by default; there is also an optional Javascript blocker extension togglable via the system preferences. Data collected from Safari is stored externally on the system's default syncing platform iCloud. The default search engine is Google; other optional search engines include Bing, Yahoo, and DuckDuckGo. In 2005, Apple open-sourced Safari's source code; beforehand only its WebCore and JavaScript Core libraries were publicly accessible, though it contains proprietary components.Safari 14, released on November 12, 2020, is the current version for macOS as part of macOS Big Sur; it is also available for macOS Catalina. Apple claims that it is up to 50 percent faster than Google Chrome while consuming less battery power than other standard web browsers.  It is also the current version of iOS and iPadOS, as part of iOS 14 and iPadOS 14.Safari 15 is the current preview version of Safari. It was announced on June 7, 2021 at WWDC 2021 with a projected release date of July 2021. Included as part of macOS Monterey, iOS 15, and iPadOS 15, it added a new design, tab groups, a new start page, and extension supports.As of May 2021, Safari ranked as the second most popular web browser after Chrome, with a market share of 18.43% worldwide and 38.88% in the US.

","2003 software,All articles containing potentially dated statements,All articles with failed verification,All articles with unsourced statements,Apple Inc. software,Articles containing potentially dated statements from May 2021,Articles with failed verification from July 2021,Articles with short description,Articles with unsourced statements from July 2021,Atom (standard),CS1 German-language sources (de),""Companies terms of service"",Computer-related introductions in 2003,IOS,IOS web browsers,MacOS web browsers,Pages using Sister project links with hidden wikidata,Short description is different from Wikidata,Software based on WebKit,Use mdy dates from May 2021,Web browsers",Safari,Сафари,"0.0811,0.1031,0.0544,0.0377,0.0263,0.0247,0.0232,0.0651,0.0468,0.0635,0.027,0.0635,0.0301,0.0202,0.0202,0.0483,0.0575,0.0202,0.0339,0.1533",https://images.pexels.com/photos/861318/pexels-photo-861318.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
39,tailor,Tailor,https://en.wikipedia.org/wiki/Sailor,"A sailor, seaman, mariner, or seafarer is a man who works aboard a watercraft as part of its crew, and may work in any one of a number of different fields that are related to the operation and maintenance of a ship.
The profession of the sailor is old, and the term sailor has its etymological roots in a time when sailing ships were the main mode of transport at sea, but it now refers to the personnel of all watercraft regardless of the mode of transport, and encompasses people who operate ships professionally, as a sport or recreationally. Be it for a military navy or civilian merchant navy. In a navy, there may be further distinctions: sailor may refer to any member of the navy even if they are based on land; while seaman may refer to a specific enlisted rank.

","All articles needing additional references,Articles needing additional references from January 2013,Articles with limited geographic scope from October 2012,Articles with multiple maintenance issues,Articles with short description,Marine occupations,Military specialisms,Nautical terminology,Sailors,Short description matches Wikidata,Water transport,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NARA identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with multiple identifiers",Tailor,Портной,"0.0609,0.0313,0.0443,0.0313,0.0656,0.0278,0.1637,0.0774,0.0384,0.0621,0.0561,0.0361,0.0361,0.0361,0.0278,0.029,0.0361,0.0325,0.0644,0.0431",https://images.pexels.com/photos/3965543/pexels-photo-3965543.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
40,target shooting,Shooting sports,https://en.wikipedia.org/wiki/Shooting_sports,"Shooting sports is a collective group of competitive and recreational sporting activities involving proficiency tests of accuracy, precision and speed in shooting — the art of using various types of ranged firearms, mainly referring to man-portable guns (firearms and airguns, in forms such as handguns, rifles and shotguns) and bows/crossbows.Different disciplines of shooting sports can be categorized by equipment, shooting distances, targets, time limits and degrees of athleticism involved. Shooting sports may involve both team and individual competition, and team performance is usually assessed by summing the scores of the individual team members. Due to the noise of shooting and the high (and often lethal) impact energy of the projectiles, shooting sports are typically conducted at either designated permanent shooting ranges or temporary shooting fields in the area away from settlements.","All articles with unsourced statements,Articles with short description,Articles with unsourced statements from November 2017,Articles with unsourced statements from October 2017,CS1: Julian–Gregorian uncertainty,Combat sports,Commons category link is on Wikidata,Competition,Marksmanship,Precision sports,Projectile weapons,Shooting sports,Short description matches Wikidata,Sports by type,Summer Olympic sports,Webarchive template wayback links,Wikipedia articles with GND identifiers,Wikipedia articles with NDL identifiers",Target shooting,Стрельба по мишеням,"0.041,0.0234,0.0295,0.0481,0.0251,0.0384,0.2094,0.0428,0.0278,0.0295,0.0957,0.0295,0.0278,0.0216,0.0525,0.0357,0.0454,0.1124,0.0437,0.0207",https://images.pexels.com/photos/8105804/pexels-photo-8105804.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
41,tombstone rubbing,Tombstone tourist,https://en.wikipedia.org/wiki/Tombstone_tourist,"Tombstone tourist (otherwise known as a ""cemetery enthusiast"", ""cemetery tourist"", ""grave hunter"", ""graver"", or ""taphophile"") describes an individual who has a passion for and enjoyment of cemeteries, epitaphs, gravestone rubbing, photography, art, and history of (famous) deaths. The term has been most notably used by author and biographer Scott Stanton as the title of his former website and book The Tombstone Tourist: Musicians (2003), about the lives and gravesites of famous musicians.Some cemetery tourists are particularly interested in the historical aspects of cemeteries or the historical relevance of their inhabitants. La Recoleta Cemetery in Buenos Aires, Argentina and Zentralfriedhof (Central Cemetery) in Vienna, Austria carry a large array of famous inhabitants and their tombs, that make the cemeteries significant tourist destinations. The historic cemeteries of New Orleans are tourist destinations because of their relevance to the cultural history of the city.
Genealogy tourists make considerable effort to search out cemeteries and their records, to verify grave records and ancestral burial locations.","All articles that may contain original research,Articles that may contain original research from July 2016,Articles with short description,CS1 maint: uses authors parameter,Cultural aspects of death,Short description matches Wikidata,Types of tourism,Use dmy dates from July 2013,Wikipedia articles needing page number citations from July 2019",Tombstone Rubbing,Каменное трение,"0.0298,0.0326,0.0262,0.0289,0.0372,0.0748,0.0234,0.0234,0.0537,0.0455,0.0271,0.0225,0.0914,0.0427,0.0289,0.0491,0.0399,0.0243,0.0381,0.2603",https://images.pexels.com/photos/4210341/pexels-photo-4210341.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
42,third person shooter games,Third-person shooter,https://en.wikipedia.org/wiki/Third-person_shooter,"Third-person shooter (TPS) is a subgenre of 3D shooter games in which the gameplay consists primarily of shooting. It is closely related to first-person shooters, but with the player character visible on-screen during play. While 2D shoot 'em up games also employ a third-person perspective, the TPS genre is distinguished by having the game presented with the player's avatar as a primary focus of the camera's view.

","CS1 maint: bot: original URL status unknown,KLOV game ID not in Wikidata,Third-person shooters,Video game genres,Video game terminology,Webarchive template archiveis links,Webarchive template wayback links",Third person shooter games,Шутер игры от третьего лица,"0.0449,0.0392,0.0392,0.0434,0.0321,0.0449,0.1261,0.0321,0.0605,0.0449,0.0491,0.0491,0.0321,0.0363,0.052,0.0321,0.0563,0.1104,0.0321,0.0434",https://images.pexels.com/photos/3760607/pexels-photo-3760607.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
43,self defense,Self-defense,https://en.wikipedia.org/wiki/Self-defense,Self-defense (self-defence in some varieties of English) is a countermeasure that involves defending the health and well-being of oneself from harm. The use of the right of self-defense as a legal justification for the use of force in times of danger is available in many jurisdictions.,"All Wikipedia articles written in American English,Articles with short description,Commons category link from Wikidata,Self-defense,Short description is different from Wikidata,Use American English from September 2019,Use dmy dates from May 2013,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NDL identifiers",Self Defense,Самооборона,"0.0547,0.0421,0.0403,0.0421,0.0547,0.0439,0.0708,0.0493,0.0403,0.0565,0.0403,0.0403,0.0762,0.0403,0.0403,0.0726,0.0547,0.0565,0.0439,0.0403",https://images.pexels.com/photos/374053/pexels-photo-374053.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
44,racquetball,Racquetball,https://en.wikipedia.org/wiki/Racquetball,"Racquetball is a racquet sport played with a hollow rubber ball on an indoor or outdoor court. Joseph Sobek is credited with inventing the modern sport of racquetball in 1950, adding a stringed racquet to paddleball in order to increase velocity and control. Unlike most racquet sports, such as tennis and badminton, there is no net to hit the ball over, and, unlike squash, no tin (out of bounds area at the bottom of front wall) to hit the ball above. Also, the court's walls, floor, and ceiling are legal playing surfaces, with the exception of court-specific designated hinders being out-of-bounds.Racquetball is very similar to 40×20 American handball, which is played in many countries. It is also very similar to the British sport Squash 57, which was called racketball before 2016 (see below for a comparison).

","All articles needing additional references,Articles needing additional references from July 2009,Articles needing additional references from June 2007,Articles with Curlie links,Articles with short description,Commons category link from Wikidata,Games and sports introduced in 1950,Indoor sports,Racquet sports,Racquetball,Short description matches Wikidata,Sports originating in the United States,Wall and ball games,Webarchive template wayback links,Wikipedia articles with GND identifiers",Racquetball,Ракетболл,"0.0372,0.0281,0.0464,0.0258,0.0292,0.0269,0.0556,0.0876,0.0395,0.0372,0.0441,0.0338,0.0258,0.0258,0.0544,0.0349,0.0315,0.2617,0.0326,0.0418",https://unsplash.com/photos/hafFeq5d9Qg/download
